Date,Open,High,Low,Close,AdjClose,Volume,MMO,MMH,MML,MMC,MMV,PPR,PPC,PPO,Fut
20/06/2019,189.720001,189.759995,187.160004,188.850006,184.773285,40922000,188.2140016,188.7440002,186.7059998,187.2600006,31358880,0.0138,0.6500,0.9846,-0.0015
21/06/2019,188.630005,189.770004,188.169998,188.570007,184.499344,39980400,187.5620028,188.1800016,186.472,186.7899994,27116320,0.0085,0.2500,0.2875,-0.0022
24/06/2019,188.529999,188.720001,188.059998,188.160004,184.505234,19375200,187.2260012,187.6559996,186.0520018,186.423999,23356080,0.0035,0.1515,0.7121,-0.0172
25/06/2019,188.029999,188.139999,184.649994,184.929993,181.337952,33921100,187.5840028,188.0260008,186.1160032,186.6439972,25686160,0.0189,0.0802,0.9685,0.0047
26/06/2019,186.160004,187.330002,185.490005,185.789993,182.181244,22595700,187.8180024,188.4040008,186.9180052,187.6599976,22509100,0.0099,0.1630,0.3641,0.0038
27/06/2019,186.460007,186.940002,185.990005,186.5,182.877487,19709200,188.6840026,189.2260008,187.8780028,188.7899994,21148380,0.0051,0.5368,0.4947,0.0013
28/06/2019,186.949997,187.149994,186.070007,186.740005,183.112823,21179200,189.4180022,190.1179992,188.5580016,189.7,21489660,0.0058,0.6204,0.8148,0.0135
01/07/2019,190.320007,190.570007,188.380005,189.259995,185.583817,31025600,189.9900024,190.6619994,189.1299988,190.2940004,20773580,0.0116,0.4018,0.8858,0.0040
02/07/2019,189.199997,190.029999,188.660004,190.009995,186.319275,18035800,189.6880006,190.7279968,189.1839966,190.5740022,18407160,0.0072,0.9854,0.3942,0.0075
03/07/2019,190.490005,191.440002,190.289993,191.440002,187.721512,15792100,190.2120026,191.3399962,189.745996,191.0840028,20474900,0.0060,1.0000,0.1739,-0.0020
05/07/2019,190.130005,191.399994,189.389999,191.050003,187.339081,21415600,190.6840028,191.719995,190.049997,191.280002,22063700,0.0105,0.8259,0.3682,-0.0070
08/07/2019,189.809998,189.869995,188.929993,189.710007,186.025085,17598800,191.1840028,192.1479948,190.6619966,191.7760012,21822960,0.0050,0.8298,0.9362,0.0050
09/07/2019,188.809998,190.899994,188.649994,190.660004,186.956696,19193500,192.0180024,193.0119962,191.5639984,192.6639986,21424420,0.0118,0.8933,0.0711,0.0100
10/07/2019,191.820007,193.089996,191.470001,192.559998,188.819748,28374500,193.0380036,193.6499966,192.3459992,193.1619966,21623900,0.0084,0.6728,0.2161,-0.0007
11/07/2019,192.850006,193.339996,191.809998,192.419998,188.682495,23736100,193.304001,193.7299984,192.4879976,193.0899964,19302020,0.0080,0.3987,0.6797,0.0058
12/07/2019,192.630005,193.539993,192.449997,193.529999,189.77092,20211900,192.9919984,193.6199978,192.2639984,193.0899964,20330200,0.0056,0.9908,0.1651,0.0032
15/07/2019,193.979996,194.190002,193.440002,194.149994,190.37886,15606100,193.2139984,193.6779996,191.9359986,192.5859956,22165400,0.0039,0.9467,0.7200,-0.0052
16/07/2019,193.910004,194.089996,192.559998,193.149994,189.3983,20190900,192.7059996,193.4279996,191.5359986,192.2619966,22835160,0.0079,0.3856,0.8824,-0.0049
17/07/2019,193.149994,193.490005,192.179993,192.199997,188.466736,16765100,192.6399992,193.372,191.4819976,192.3899964,23554320,0.0068,0.0153,0.7405,0.0011
